#time, current, target_x, x, q
0.00000, -1.435, 0.0004, -0.0004, -0.0872
0.00506, -1.435, 0.0008, -0.0005, -0.0872
0.01000, -1.327, 0.0012, -0.0009, -0.0848
0.01506, -1.111, 0.0016, -0.0015, -0.0825
0.02000, -0.896, 0.0020, -0.0023, -0.0809
0.02506, -0.572, 0.0024, -0.0033, -0.0762
0.03000, -0.356, 0.0028, -0.0043, -0.0730
0.03506, -0.248, 0.0032, -0.0054, -0.0707
0.04000, -0.248, 0.0036, -0.0064, -0.0668
0.04506, -0.248, 0.0040, -0.0075, -0.0628
0.05000, -0.248, 0.0044, -0.0084, -0.0613
0.05506, -0.248, 0.0048, -0.0094, -0.0573
0.06000, -0.248, 0.0052, -0.0103, -0.0542
0.06506, -0.248, 0.0056, -0.0111, -0.0518
0.07000, -0.356, 0.0060, -0.0119, -0.0495
0.07506, -0.356, 0.0064, -0.0127, -0.0456
0.08000, -0.356, 0.0068, -0.0134, -0.0432
0.08506, -0.356, 0.0072, -0.0141, -0.0408
0.09000, -0.356, 0.0076, -0.0149, -0.0377
0.09506, -0.356, 0.0080, -0.0156, -0.0353
0.10000, -0.248, 0.0084, -0.0163, -0.0338
0.10506, -0.248, 0.0088, -0.0170, -0.0298
0.11000, -0.248, 0.0092, -0.0177, -0.0275
0.11506, -0.248, 0.0096, -0.0183, -0.0251
0.12000, -0.248, 0.0100, -0.0189, -0.0228
0.12506, -0.248, 0.0104, -0.0195, -0.0204
0.13000, -0.248, 0.0108, -0.0200, -0.0188
0.13506, -0.248, 0.0112, -0.0204, -0.0165
0.14000, -0.248, 0.0116, -0.0209, -0.0141
0.14506, -0.248, 0.0120, -0.0213, -0.0134
0.15000, -0.248, 0.0124, -0.0217, -0.0110
0.15506, -0.248, 0.0128, -0.0221, -0.0094
0.16000, -0.248, 0.0132, -0.0225, -0.0079
0.16506, -0.248, 0.0136, -0.0228, -0.0063
0.17000, -0.248, 0.0140, -0.0231, -0.0047
0.17506, -0.248, 0.0144, -0.0234, -0.0031
0.18000, -0.248, 0.0148, -0.0236, -0.0016
0.18506, -0.248, 0.0152, -0.0238, -0.0008
0.19000, -0.248, 0.0156, -0.0240, 0.0008
0.19506, -0.248, 0.0160, -0.0242, 0.0016
0.20000, -0.248, 0.0164, -0.0244, 0.0031
0.20506, -0.248, 0.0168, -0.0245, 0.0047
0.21000, -0.248, 0.0172, -0.0246, 0.0055
0.21506, -0.248, 0.0176, -0.0246, 0.0063
0.22000, 0.344, 0.0180, -0.0246, 0.0071
0.22506, 0.344, 0.0184, -0.0245, 0.0079
0.23000, 0.452, 0.0188, -0.0243, 0.0079
0.23506, 0.344, 0.0192, -0.0240, 0.0086
0.24000, 0.344, 0.0196, -0.0237, 0.0086
0.24506, 0.344, 0.0200, -0.0233, 0.0086
0.25000, 0.236, 0.0204, -0.0229, 0.0086
0.25506, 0.236, 0.0208, -0.0225, 0.0086
0.26000, 0.128, 0.0212, -0.0220, 0.0079
0.26506, 0.128, 0.0216, -0.0216, 0.0079
0.27000, 0.128, 0.0220, -0.0212, 0.0079
0.27506, 0.128, 0.0224, -0.0208, 0.0079
0.28000, 0.128, 0.0228, -0.0204, 0.0079
0.28506, 0.128, 0.0232, -0.0201, 0.0079
0.29000, 0.128, 0.0236, -0.0197, 0.0079
0.29506, 0.128, 0.0240, -0.0194, 0.0079
0.30000, 0.236, 0.0244, -0.0191, 0.0086
0.30506, 0.236, 0.0248, -0.0189, 0.0086
0.31000, 0.236, 0.0252, -0.0186, 0.0094
0.31506, 0.236, 0.0256, -0.0183, 0.0086
0.32000, 0.236, 0.0260, -0.0180, 0.0094
