#time, current, target_x, x, q
0.00000, -1.435, 0.0004, -0.0003, -0.0872
0.00494, -1.435, 0.0008, -0.0005, -0.0872
0.00988, -1.327, 0.0012, -0.0009, -0.0848
0.01482, -1.111, 0.0016, -0.0014, -0.0825
0.01976, -0.896, 0.0020, -0.0022, -0.0809
0.02470, -0.680, 0.0024, -0.0031, -0.0770
0.02964, -0.464, 0.0028, -0.0042, -0.0754
0.03462, -0.356, 0.0032, -0.0052, -0.0723
0.03956, -0.248, 0.0036, -0.0064, -0.0683
0.04462, -0.248, 0.0040, -0.0075, -0.0652
0.04956, -0.248, 0.0044, -0.0084, -0.0628
0.05462, -0.248, 0.0048, -0.0094, -0.0605
0.05956, -0.356, 0.0052, -0.0104, -0.0573
0.06463, -0.464, 0.0056, -0.0113, -0.0550
0.06957, -0.464, 0.0060, -0.0122, -0.0518
0.07462, -0.464, 0.0064, -0.0132, -0.0495
0.07956, -0.464, 0.0068, -0.0141, -0.0463
0.08462, -0.464, 0.0072, -0.0151, -0.0456
0.08956, -0.464, 0.0076, -0.0161, -0.0416
0.09462, -0.464, 0.0080, -0.0172, -0.0385
0.09956, -0.356, 0.0084, -0.0181, -0.0369
0.10462, -0.356, 0.0088, -0.0192, -0.0330
0.10956, -0.248, 0.0092, -0.0202, -0.0306
0.11462, -0.248, 0.0096, -0.0212, -0.0283
0.11956, -0.248, 0.0100, -0.0222, -0.0251
0.12463, -0.248, 0.0104, -0.0231, -0.0212
0.12957, -0.248, 0.0108, -0.0240, -0.0196
0.13462, -0.248, 0.0112, -0.0249, -0.0173
0.13956, -0.248, 0.0116, -0.0257, -0.0141
0.14462, -0.248, 0.0120, -0.0265, -0.0126
0.14957, -0.248, 0.0124, -0.0273, -0.0102
0.15462, -0.248, 0.0128, -0.0280, -0.0071
0.15957, -0.248, 0.0132, -0.0287, -0.0055
0.16462, -0.248, 0.0136, -0.0294, -0.0047
0.16956, -0.248, 0.0140, -0.0301, -0.0016
0.17462, -0.248, 0.0144, -0.0307, 0.0000
0.17957, -0.248, 0.0148, -0.0313, 0.0016
0.18462, -0.248, 0.0152, -0.0318, 0.0031
0.18956, -0.248, 0.0156, -0.0324, 0.0055
0.19463, -0.248, 0.0160, -0.0329, 0.0063
0.19957, -0.248, 0.0164, -0.0334, 0.0086
0.20462, -0.248, 0.0168, -0.0339, 0.0102
0.20957, -0.248, 0.0172, -0.0343, 0.0118
0.21462, -0.248, 0.0176, -0.0347, 0.0126
0.21956, -0.248, 0.0180, -0.0350, 0.0149
0.22462, -0.140, 0.0184, -0.0355, 0.0157
0.22956, -0.140, 0.0188, -0.0358, 0.0173
0.23462, -0.140, 0.0192, -0.0361, 0.0181
0.23956, -0.248, 0.0196, -0.0363, 0.0188
0.24462, -0.248, 0.0200, -0.0366, 0.0204
0.24957, -0.248, 0.0204, -0.0367, 0.0212
0.25462, -0.248, 0.0208, -0.0368, 0.0212
0.25956, -0.248, 0.0212, -0.0370, 0.0228
0.26462, -0.248, 0.0216, -0.0371, 0.0236
0.26956, -0.248, 0.0220, -0.0372, 0.0236
0.27462, -0.248, 0.0224, -0.0372, 0.0251
0.27956, -0.248, 0.0228, -0.0374, 0.0259
0.28462, -0.140, 0.0232, -0.0374, 0.0267
0.28956, -0.140, 0.0236, -0.0375, 0.0275
0.29462, -0.140, 0.0240, -0.0375, 0.0283
0.29956, 0.452, 0.0244, -0.0375, 0.0291
0.30462, 0.452, 0.0248, -0.0374, 0.0298
0.30956, 0.560, 0.0252, -0.0373, 0.0298
0.31462, 0.560, 0.0256, -0.0371, 0.0306
0.31956, 0.452, 0.0260, -0.0367, 0.0298
0.32462, 0.452, 0.0264, -0.0363, 0.0298
0.32956, 0.344, 0.0268, -0.0358, 0.0298
0.33463, 0.344, 0.0272, -0.0352, 0.0291
0.33956, 0.344, 0.0276, -0.0346, 0.0291
0.34462, 0.344, 0.0280, -0.0341, 0.0275
0.34956, 0.236, 0.0284, -0.0334, 0.0275
0.35462, 0.236, 0.0288, -0.0328, 0.0267
0.35956, 0.236, 0.0292, -0.0322, 0.0259
0.36462, 0.236, 0.0296, -0.0315, 0.0251
0.36956, 0.236, 0.0300, -0.0309, 0.0259
0.37463, 0.236, 0.0304, -0.0303, 0.0243
0.37957, 0.236, 0.0308, -0.0297, 0.0243
0.38462, 0.344, 0.0312, -0.0292, 0.0243
0.38956, 0.344, 0.0316, -0.0286, 0.0228
0.39462, 0.344, 0.0320, -0.0280, 0.0236
0.39956, 0.344, 0.0324, -0.0274, 0.0220
0.40462, 0.236, 0.0328, -0.0268, 0.0228
0.40957, 0.236, 0.0332, -0.0262, 0.0212
0.41462, 0.236, 0.0336, -0.0255, 0.0220
0.41956, 0.344, 0.0340, -0.0249, 0.0204
0.42462, 0.236, 0.0344, -0.0242, 0.0204
0.42956, 0.236, 0.0348, -0.0236, 0.0188
0.43462, 0.236, 0.0352, -0.0229, 0.0204
0.43956, 0.236, 0.0356, -0.0223, 0.0181
0.44463, 0.236, 0.0360, -0.0216, 0.0188
0.44957, 0.236, 0.0364, -0.0211, 0.0188
0.45462, 0.344, 0.0368, -0.0204, 0.0181
0.45956, 0.236, 0.0372, -0.0198, 0.0165
0.46462, 0.236, 0.0376, -0.0192, 0.0181
0.46956, 0.344, 0.0380, -0.0186, 0.0173
0.47462, 0.344, 0.0384, -0.0179, 0.0157
0.47956, 0.236, 0.0388, -0.0174, 0.0173
0.48462, 0.236, 0.0392, -0.0167, 0.0165
0.48956, 0.236, 0.0396, -0.0160, 0.0149
0.49462, 0.236, 0.0400, -0.0154, 0.0157
0.49956, 0.236, 0.0404, -0.0148, 0.0157
0.50462, 0.236, 0.0408, -0.0142, 0.0141
0.50956, 0.236, 0.0412, -0.0136, 0.0149
0.51462, 0.236, 0.0416, -0.0130, 0.0157
0.51956, 0.344, 0.0420, -0.0124, 0.0141
0.52462, 0.344, 0.0424, -0.0118, 0.0141
0.52956, 0.344, 0.0428, -0.0113, 0.0149
0.53462, 0.344, 0.0432, -0.0106, 0.0141
0.53956, 0.344, 0.0436, -0.0100, 0.0141
0.54462, 0.344, 0.0440, -0.0093, 0.0149
0.54956, 0.344, 0.0444, -0.0087, 0.0141
0.55462, 0.344, 0.0448, -0.0080, 0.0126
0.55956, 0.236, 0.0452, -0.0073, 0.0141
0.56462, 0.236, 0.0456, -0.0066, 0.0126
0.56956, 0.236, 0.0460, -0.0059, 0.0126
0.57462, 0.236, 0.0464, -0.0053, 0.0126
0.57956, 0.236, 0.0468, -0.0047, 0.0126
0.58462, 0.236, 0.0472, -0.0041, 0.0118
0.58956, 0.344, 0.0476, -0.0035, 0.0126
0.59462, 0.344, 0.0480, -0.0029, 0.0126
0.59956, 0.344, 0.0484, -0.0023, 0.0118
0.60462, 0.344, 0.0488, -0.0016, 0.0118
0.60956, 0.344, 0.0492, -0.0010, 0.0126
0.61462, 0.344, 0.0496, -0.0004, 0.0110
0.61956, 0.344, 0.0500, 0.0002, 0.0126
0.62463, 0.344, 0.0504, 0.0008, 0.0126
0.62957, 0.344, 0.0508, 0.0015, 0.0110
0.63462, 0.344, 0.0512, 0.0021, 0.0118
0.63956, 0.344, 0.0516, 0.0028, 0.0126
0.64462, 0.344, 0.0520, 0.0034, 0.0110
0.64956, 0.344, 0.0524, 0.0040, 0.0118
0.65462, 0.344, 0.0528, 0.0047, 0.0126
0.65957, 0.344, 0.0532, 0.0053, 0.0110
0.66462, 0.344, 0.0536, 0.0059, 0.0110
0.66956, 0.344, 0.0540, 0.0066, 0.0126
0.67462, 0.344, 0.0544, 0.0072, 0.0110
0.67956, 0.344, 0.0548, 0.0079, 0.0110
0.68462, 0.344, 0.0552, 0.0085, 0.0118
0.68956, 0.344, 0.0556, 0.0091, 0.0118
0.69463, 0.344, 0.0560, 0.0098, 0.0110
0.69957, 0.344, 0.0564, 0.0104, 0.0126
0.70462, 0.344, 0.0568, 0.0110, 0.0118
0.70956, 0.344, 0.0572, 0.0117, 0.0110
0.71462, 0.344, 0.0576, 0.0123, 0.0126
0.71956, 0.344, 0.0580, 0.0129, 0.0126
0.72462, 0.344, 0.0584, 0.0136, 0.0118
0.72956, 0.344, 0.0588, 0.0142, 0.0118
0.73462, 0.344, 0.0592, 0.0148, 0.0134
0.73956, 0.452, 0.0596, 0.0155, 0.0118
0.74462, 0.344, 0.0600, 0.0162, 0.0126
0.74956, 0.344, 0.0604, 0.0168, 0.0126
0.75462, 0.344, 0.0608, 0.0175, 0.0126
0.75956, 0.344, 0.0612, 0.0182, 0.0118
0.76462, 0.344, 0.0616, 0.0189, 0.0141
0.76956, 0.452, 0.0620, 0.0195, 0.0126
0.77462, 0.452, 0.0624, 0.0203, 0.0118
0.77956, 0.344, 0.0628, 0.0210, 0.0134
0.78463, 0.344, 0.0632, 0.0217, 0.0118
0.78956, 0.344, 0.0636, 0.0225, 0.0126
0.79462, 0.344, 0.0640, 0.0232, 0.0126
0.79956, 0.344, 0.0644, 0.0239, 0.0134
0.80462, 0.344, 0.0648, 0.0247, 0.0102
0.80956, 0.344, 0.0652, 0.0255, 0.0126
0.81462, 0.344, 0.0656, 0.0262, 0.0126
0.81956, 0.452, 0.0660, 0.0270, 0.0118
0.82462, 0.344, 0.0664, 0.0278, 0.0118
0.82956, 0.344, 0.0668, 0.0286, 0.0118
0.83462, 0.344, 0.0672, 0.0294, 0.0110
0.83957, 0.344, 0.0676, 0.0302, 0.0110
0.84462, 0.344, 0.0680, 0.0311, 0.0118
0.84956, 0.344, 0.0684, 0.0319, 0.0102
0.85462, 0.344, 0.0688, 0.0328, 0.0110
0.85956, 0.344, 0.0692, 0.0336, 0.0102
0.86462, 0.344, 0.0696, 0.0345, 0.0102
0.86956, 0.344, 0.0700, 0.0353, 0.0102
0.87463, 0.344, 0.0704, 0.0362, 0.0102
0.87957, 0.344, 0.0708, 0.0370, 0.0086
0.88462, 0.344, 0.0712, 0.0379, 0.0086
0.88956, 0.344, 0.0716, 0.0388, 0.0094
0.89462, 0.344, 0.0720, 0.0397, 0.0086
0.89956, 0.344, 0.0724, 0.0406, 0.0086
