time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00000, 0.000, 0.000, 0.0000, -3.1416
0.00160, 0.015, 0.005, 0.0000, -3.1416
0.00302, 0.028, 0.005, 0.0000, -3.1416
0.00463, 0.044, 0.005, 0.0000, -3.1416
0.00622, 0.059, 0.005, 0.0000, -3.1416
0.00782, 0.074, 0.010, 0.0000, -3.1416
0.00942, 0.089, 0.010, 0.0000, -3.1416
0.01092, 0.104, 0.010, 0.0000, -3.1416
0.01253, 0.119, 0.020, 0.0000, -3.1416
0.01415, 0.135, 0.034, 0.0000, -3.1416
0.01580, 0.151, 0.059, 0.0000, -3.1416
0.01742, 0.166, 0.078, 0.0000, -3.1416
0.01888, 0.180, 0.078, 0.0000, -3.1416
0.02052, 0.196, 0.098, 0.0000, -3.1416
0.02214, 0.212, 0.117, 0.0000, -3.1416
0.02376, 0.227, 0.137, 0.0000, -3.1416
0.02538, 0.243, 0.156, 0.0000, -3.1416
0.02693, 0.258, 0.176, 0.0000, -3.1416
0.02868, 0.275, 0.176, 0.0000, -3.1416
0.03048, 0.292, 0.195, 0.0000, -3.1416
0.03223, 0.309, 0.215, 0.0001, -3.1416
0.03395, 0.326, 0.234, 0.0001, -3.1416
0.03566, 0.343, 0.254, 0.0001, -3.1416
0.03739, 0.359, 0.274, 0.0001, -3.1416
0.03895, 0.375, 0.293, 0.0001, -3.1416
0.04070, 0.392, 0.293, 0.0001, -3.1416
0.04251, 0.409, 0.317, 0.0002, -3.1416
0.04424, 0.426, 0.337, 0.0002, -3.1408
0.04598, 0.443, 0.357, 0.0002, -3.1408
0.04773, 0.459, 0.381, 0.0003, -3.1408
0.04944, 0.476, 0.400, 0.0003, -3.1408
0.05100, 0.491, 0.420, 0.0004, -3.1408
0.05273, 0.508, 0.420, 0.0004, -3.1408
0.05445, 0.524, 0.440, 0.0005, -3.1408
0.05621, 0.541, 0.459, 0.0005, -3.1408
0.05796, 0.558, 0.479, 0.0006, -3.1400
0.05970, 0.574, 0.498, 0.0007, -3.1400
0.06143, 0.591, 0.518, 0.0008, -3.1392
0.06299, 0.606, 0.542, 0.0009, -3.1392
0.06472, 0.622, 0.542, 0.0010, -3.1392
0.06650, 0.639, 0.562, 0.0012, -3.1392
0.06826, 0.656, 0.581, 0.0013, -3.1392
0.07003, 0.672, 0.601, 0.0015, -3.1392
0.07177, 0.688, 0.615, 0.0016, -3.1384
0.07352, 0.705, 0.635, 0.0018, -3.1377
0.07526, 0.721, 0.654, 0.0020, -3.1369
0.07683, 0.735, 0.654, 0.0022, -3.1369
0.07859, 0.752, 0.674, 0.0024, -3.1361
0.08042, 0.768, 0.698, 0.0026, -3.1361
0.08218, 0.784, 0.718, 0.0029, -3.1361
0.08390, 0.800, 0.742, 0.0031, -3.1353
0.08574, 0.817, 0.762, 0.0034, -3.1345
0.08748, 0.832, 0.781, 0.0037, -3.1330
0.08907, 0.846, 0.791, 0.0040, -3.1314
0.09082, 0.862, 0.791, 0.0043, -3.1306
0.09254, 0.877, 0.816, 0.0046, -3.1306
0.09430, 0.892, 0.835, 0.0049, -3.1306
0.09605, 0.908, 0.850, 0.0053, -3.1306
0.09777, 0.922, 0.864, 0.0057, -3.1298
0.09952, 0.937, 0.879, 0.0060, -3.1275
0.10126, 0.952, 0.899, 0.0065, -3.1267
0.10282, 0.965, 0.899, 0.0069, -3.1259
0.10467, 0.981, 0.918, 0.0073, -3.1243
0.10641, 0.995, 0.938, 0.0078, -3.1235
0.10824, 1.010, 0.967, 0.0083, -3.1235
0.11001, 1.025, 0.991, 0.0088, -3.1212
0.11176, 1.039, 1.011, 0.0093, -3.1196
0.11348, 1.053, 1.011, 0.0098, -3.1196
0.11506, 1.065, 1.021, 0.0104, -3.1180
0.11684, 1.079, 1.021, 0.0110, -3.1180
0.11862, 1.093, 1.031, 0.0115, -3.1165
0.12043, 1.106, 1.050, 0.0121, -3.1141
0.12222, 1.120, 1.070, 0.0128, -3.1110
0.12402, 1.133, 1.104, 0.0135, -3.1102
0.12582, 1.147, 1.118, 0.0142, -3.1094
0.12762, 1.160, 1.138, 0.0149, -3.1070
0.12942, 1.172, 1.138, 0.0156, -3.1070
0.13131, 1.186, 1.143, 0.0164, -3.1047
0.13292, 1.197, 1.158, 0.0172, -3.1023
0.13472, 1.209, 1.158, 0.0180, -3.1015
0.13663, 1.222, 1.187, 0.0189, -3.0984
0.13844, 1.234, 1.211, 0.0197, -3.0960
0.14026, 1.246, 1.221, 0.0206, -3.0945
0.14206, 1.257, 1.221, 0.0216, -3.0921
0.14388, 1.269, 1.221, 0.0225, -3.0905
