time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00000, 0.000, 0.000, 0.0000, -3.1416
0.00161, 0.015, 0.000, 0.0000, -3.1416
0.00310, 0.029, 0.000, 0.0000, -3.1416
0.00459, 0.043, 0.000, 0.0000, -3.1416
0.00590, 0.056, 0.000, 0.0000, -3.1416
0.00740, 0.070, 0.000, 0.0000, -3.1416
0.00891, 0.085, 0.005, 0.0000, -3.1416
0.01050, 0.100, 0.010, 0.0000, -3.1416
0.01192, 0.113, 0.010, 0.0000, -3.1416
0.01352, 0.129, 0.024, 0.0000, -3.1416
0.01517, 0.144, 0.044, 0.0000, -3.1416
0.01680, 0.160, 0.063, 0.0000, -3.1416
0.01851, 0.177, 0.083, 0.0000, -3.1416
0.01996, 0.191, 0.083, 0.0000, -3.1416
0.02158, 0.206, 0.103, 0.0000, -3.1416
0.02331, 0.223, 0.127, 0.0000, -3.1416
0.02505, 0.240, 0.147, 0.0000, -3.1416
0.02676, 0.256, 0.161, 0.0000, -3.1416
0.02851, 0.273, 0.186, 0.0001, -3.1416
0.03007, 0.288, 0.186, 0.0001, -3.1416
0.03180, 0.305, 0.205, 0.0001, -3.1416
0.03354, 0.322, 0.225, 0.0001, -3.1416
0.03526, 0.339, 0.249, 0.0001, -3.1416
0.03700, 0.356, 0.269, 0.0001, -3.1416
0.03881, 0.373, 0.288, 0.0001, -3.1416
0.04053, 0.390, 0.308, 0.0002, -3.1416
0.04208, 0.405, 0.308, 0.0002, -3.1408
0.04389, 0.422, 0.327, 0.0002, -3.1408
0.04563, 0.439, 0.352, 0.0003, -3.1408
0.04737, 0.456, 0.366, 0.0003, -3.1408
0.04912, 0.473, 0.386, 0.0003, -3.1408
0.05087, 0.490, 0.405, 0.0004, -3.1408
0.05261, 0.507, 0.425, 0.0004, -3.1408
0.05417, 0.522, 0.449, 0.0005, -3.1408
0.05591, 0.538, 0.449, 0.0005, -3.1408
0.05766, 0.555, 0.469, 0.0006, -3.1400
0.05937, 0.571, 0.493, 0.0007, -3.1400
0.06112, 0.588, 0.513, 0.0008, -3.1400
0.06284, 0.604, 0.527, 0.0009, -3.1392
0.06458, 0.621, 0.547, 0.0010, -3.1392
0.06615, 0.636, 0.567, 0.0012, -3.1392
0.06789, 0.652, 0.567, 0.0013, -3.1392
