#time, u, target_x, x, q
0.00000, 0.000, 0.0004, -0.0006, -0.0872
0.00494, -2.860, 0.0008, -0.0007, -0.0880
0.00988, -11.279, 0.0012, -0.0011, -0.0856
0.01482, -10.963, 0.0016, -0.0017, -0.0848
0.01976, -9.650, 0.0020, -0.0026, -0.0817
0.02470, -7.930, 0.0024, -0.0035, -0.0778
0.02964, -5.531, 0.0028, -0.0048, -0.0762
0.03458, -3.403, 0.0032, -0.0059, -0.0707
0.03955, -0.959, 0.0036, -0.0072, -0.0691
0.04449, -0.099, 0.0040, -0.0083, -0.0644
0.04956, 0.399, 0.0044, -0.0094, -0.0636
0.05450, 0.399, 0.0048, -0.0105, -0.0589
0.05955, 0.444, 0.0052, -0.0116, -0.0558
0.06449, 0.399, 0.0056, -0.0125, -0.0550
0.06955, 0.489, 0.0060, -0.0134, -0.0503
0.07449, -0.190, 0.0064, -0.0143, -0.0487
0.07955, -1.593, 0.0068, -0.0151, -0.0456
0.08450, -1.729, 0.0072, -0.0160, -0.0448
0.08955, -1.774, 0.0076, -0.0168, -0.0408
0.09449, -2.226, 0.0080, -0.0177, -0.0377
0.09956, -2.091, 0.0084, -0.0186, -0.0361
0.10450, -1.276, 0.0088, -0.0195, -0.0338
0.10956, -0.778, 0.0092, -0.0205, -0.0298
0.11450, -0.733, 0.0096, -0.0213, -0.0275
0.11955, 0.082, 0.0100, -0.0222, -0.0251
0.12449, 0.444, 0.0104, -0.0230, -0.0220
0.12956, 0.399, 0.0108, -0.0238, -0.0196
0.13449, 0.399, 0.0112, -0.0245, -0.0173
0.13955, 0.399, 0.0116, -0.0251, -0.0149
0.14449, 0.444, 0.0120, -0.0258, -0.0118
0.14955, 0.444, 0.0124, -0.0264, -0.0094
0.15449, 0.399, 0.0128, -0.0269, -0.0086
0.15956, 0.444, 0.0132, -0.0274, -0.0063
0.16450, 0.444, 0.0136, -0.0279, -0.0047
0.16955, 0.444, 0.0140, -0.0283, -0.0031
0.17449, 0.444, 0.0144, -0.0287, -0.0016
0.17955, 0.399, 0.0148, -0.0291, 0.0008
0.18449, 0.444, 0.0152, -0.0294, 0.0016
0.18956, 0.399, 0.0156, -0.0297, 0.0031
0.19450, 0.444, 0.0160, -0.0299, 0.0039
0.19955, 0.444, 0.0164, -0.0302, 0.0063
0.20450, 0.399, 0.0168, -0.0304, 0.0063
0.20955, 0.444, 0.0172, -0.0306, 0.0079
0.21449, 0.444, 0.0176, -0.0308, 0.0094
0.21955, 0.399, 0.0180, -0.0309, 0.0102
0.22449, 0.444, 0.0184, -0.0310, 0.0110
0.22956, 0.444, 0.0188, -0.0311, 0.0126
0.23450, 0.444, 0.0192, -0.0312, 0.0134
0.23956, 0.399, 0.0196, -0.0312, 0.0134
0.24450, 0.399, 0.0200, -0.0313, 0.0149
0.24955, 0.444, 0.0204, -0.0313, 0.0157
0.25449, 0.000, 0.0208, -0.0313, 0.0165
