time(s),reference current(A),current(A),rw angle(rad),pendulum angle(rad),xa,ya,xb,yb
0.00000, 0.000, 0.000, 263.1084, -3.1416, 0.0000, -0.9750, 0.0000, -0.9828
0.00133, 0.021, 0.000, 263.1084, -3.1416, -0.0234, -0.9672, 0.0000, -1.0218
0.00272, 0.043, 0.000, 263.1084, -3.1416, 0.0000, -0.9750, 0.0000, -0.9750
0.00409, 0.064, 0.001, 263.1084, -3.1416, -0.0312, -0.9672, 0.0078, -0.9828
0.00572, 0.090, 0.003, 263.1084, -3.1416, -0.0234, -0.9984, 0.0000, -0.9828
0.00768, 0.121, 0.023, 263.1084, -3.1416, 0.0000, -0.9906, 0.0312, -0.9906
0.00965, 0.152, 0.057, 263.1084, -3.1416, 0.0000, -0.9984, 0.0468, -0.9828
0.01166, 0.184, 0.087, 263.1084, -3.1416, -0.0312, -0.9750, 0.0468, -0.9594
0.01362, 0.215, 0.120, 263.1084, -3.1416, -0.0156, -0.9516, 0.0390, -0.9984
0.01565, 0.247, 0.152, 263.1084, -3.1416, -0.0312, -0.9984, 0.0312, -0.9828
0.01769, 0.279, 0.181, 263.1084, -3.1416, -0.0312, -0.9750, 0.0234, -0.9828
0.01966, 0.311, 0.214, 263.1084, -3.1416, -0.0078, -0.9828, 0.0000, -0.9594
0.02166, 0.342, 0.246, 263.1084, -3.1416, -0.0312, -0.9750, 0.0000, -0.9984
0.02366, 0.374, 0.277, 263.1084, -3.1416, -0.0546, -0.9750, 0.0000, -0.9828
0.02560, 0.405, 0.309, 263.1084, -3.1416, -0.0468, -0.9906, 0.0000, -0.9906
0.02760, 0.437, 0.340, 263.1084, -3.1416, -0.0234, -0.9594, 0.0156, -0.9750
0.02967, 0.469, 0.371, 263.1084, -3.1416, -0.0156, -0.9984, 0.0390, -0.9750
0.03166, 0.501, 0.405, 263.1084, -3.1416, -0.0312, -0.9750, 0.0390, -0.9750
0.03367, 0.533, 0.436, 263.1084, -3.1416, -0.0468, -0.9828, 0.0390, -0.9750
0.03567, 0.565, 0.467, 263.1084, -3.1416, -0.0312, -0.9672, 0.0390, -0.9828
0.03763, 0.596, 0.499, 263.1084, -3.1416, -0.0312, -0.9672, 0.0312, -0.9828
0.03962, 0.628, 0.532, 263.1084, -3.1416, -0.0234, -0.9750, 0.0234, -0.9906
0.04166, 0.661, 0.563, 263.1084, -3.1416, -0.0624, -0.9828, 0.0000, -0.9906
0.04365, 0.692, 0.597, 263.1084, -3.1416, -0.0468, -0.9828, 0.0000, -0.9984
0.04566, 0.724, 0.629, 263.1084, -3.1416, -0.0312, -0.9750, 0.0000, -0.9906
0.04766, 0.756, 0.658, 263.1084, -3.1416, -0.0468, -0.9750, 0.0000, -0.9906
0.04960, 0.787, 0.691, 263.1084, -3.1416, -0.0390, -0.9984, 0.0390, -0.9906
0.05166, 0.820, 0.723, 263.1084, -3.1416, -0.0468, -0.9672, 0.0234, -0.9906
0.05367, 0.852, 0.754, 263.1084, -3.1416, -0.0390, -0.9750, 0.0468, -0.9750
0.05568, 0.885, 0.787, 263.1084, -3.1416, -0.0468, -0.9672, 0.0468, -0.9750
0.05767, 0.916, 0.818, 263.1084, -3.1416, -0.0468, -0.9906, 0.0234, -0.9828
