time(s),reference current(A),current(A),rw angle(rad),pendulum angle(rad)
0.00000, 0.000, 0.000, 0.0000, -3.1416
0.00200, 0.019, -0.001, 0.0000, -3.1416
0.00400, 0.038, 0.000, 0.0000, -3.1416
0.00600, 0.057, -0.001, 0.0000, -3.1416
0.00800, 0.076, 0.001, 0.0000, -3.1416
0.01000, 0.094, 0.018, 0.0000, -3.1416
0.01200, 0.113, 0.046, 0.0000, -3.1416
0.01400, 0.132, 0.071, 0.0000, -3.1416
0.01600, 0.151, 0.091, 0.0000, -3.1416
0.01800, 0.170, 0.111, 0.0000, -3.1416
0.02000, 0.189, 0.131, 0.0000, -3.1416
0.02200, 0.208, 0.151, 0.0000, -3.1416
0.02400, 0.227, 0.170, 0.0000, -3.1416
0.02600, 0.246, 0.189, 0.0000, -3.1416
0.02800, 0.265, 0.207, 0.0000, -3.1416
0.03000, 0.284, 0.226, 0.0000, -3.1416
0.03200, 0.303, 0.244, 0.0000, -3.1416
0.03400, 0.322, 0.264, 0.0000, -3.1416
0.03600, 0.341, 0.283, 0.0000, -3.1416
0.03800, 0.360, 0.301, 0.0000, -3.1416
0.04000, 0.379, 0.320, 0.0000, -3.1416
0.04200, 0.398, 0.340, 0.0000, -3.1416
0.04400, 0.417, 0.358, 0.0000, -3.1416
0.04600, 0.436, 0.378, 0.0000, -3.1416
0.04800, 0.455, 0.397, 0.0000, -3.1416
0.05000, 0.474, 0.417, 0.0000, -3.1416
0.05200, 0.494, 0.435, 0.0000, -3.1416
0.05400, 0.513, 0.453, 0.0000, -3.1416
0.05600, 0.532, 0.472, 0.0000, -3.1416
0.05800, 0.551, 0.491, 0.0000, -3.1416
0.06000, 0.570, 0.510, 0.0000, -3.1416
0.06200, 0.589, 0.529, 0.0000, -3.1416
0.06400, 0.608, 0.548, 0.0000, -3.1416
0.06600, 0.627, 0.569, 0.0000, -3.1416
0.06800, 0.646, 0.588, 0.0000, -3.1416
0.07000, 0.665, 0.607, 0.0000, -3.1416
0.07200, 0.685, 0.625, 0.0000, -3.1416
0.07400, 0.704, 0.644, 0.0000, -3.1416
0.07600, 0.723, 0.664, 0.0000, -3.1416
0.07800, 0.742, 0.682, 0.0000, -3.1416
0.08000, 0.761, 0.702, 0.0000, -3.1416
0.08200, 0.780, 0.721, 0.0000, -3.1422
0.08400, 0.799, 0.740, 0.0000, -3.1422
0.08600, 0.818, 0.759, 0.0000, -3.1422
0.08800, 0.838, 0.778, 0.0000, -3.1422
0.09000, 0.857, 0.799, 0.0000, -3.1422
0.09200, 0.876, 0.818, 0.0000, -3.1422
0.09400, 0.895, 0.836, 0.0000, -3.1422
0.09600, 0.914, 0.854, 0.0000, -3.1428
0.09800, 0.933, 0.873, 0.0000, -3.1428
0.10000, 0.952, 0.892, 0.0000, -3.1428
0.10200, 0.971, 0.912, 0.0000, -3.1428
0.10400, 0.991, 0.931, 0.0000, -3.1428
0.10600, 1.010, 0.950, 0.0000, -3.1435
0.10800, 1.029, 0.969, 0.0000, -3.1435
0.11000, 1.048, 0.988, 0.0000, -3.1435
0.11200, 1.067, 1.009, 0.0000, -3.1435
0.11400, 1.086, 1.027, 0.0000, -3.1441
0.11600, 1.105, 1.047, 0.0000, -3.1441
0.11800, 1.124, 1.065, 0.0000, -3.1441
0.12000, 1.143, 1.084, 0.0000, -3.1441
0.12200, 1.162, 1.103, 0.0000, -3.1447
0.12400, 1.182, 1.123, 0.0000, -3.1447
0.12600, 1.201, 1.142, 0.0000, -3.1447
0.12800, 1.220, 1.160, 0.0000, -3.1454
0.13000, 1.239, 1.179, 0.0000, -3.1454
0.13200, 1.258, 1.200, 0.0000, -3.1454
0.13400, 1.277, 1.219, 0.0000, -3.1460
0.13600, 1.296, 1.238, 0.1309, -3.1460
0.13800, 1.315, 1.262, 0.1309, -3.1460
0.14000, 1.334, 1.278, 0.1309, -3.1466
0.14200, 1.353, 1.295, 0.1309, -3.1466
0.14400, 1.372, 1.313, 0.1309, -3.1472
0.14600, 1.391, 1.331, 0.1309, -3.1472
0.14800, 1.410, 1.352, 0.1309, -3.1472
0.15000, 1.429, 1.370, 0.1309, -3.1479
0.15200, 1.448, 1.388, 0.1309, -3.1479
0.15400, 1.467, 1.407, 0.1309, -3.1485
0.15600, 1.486, 1.426, 0.1309, -3.1485
0.15800, 1.505, 1.447, 0.1309, -3.1491
0.16000, 1.524, 1.464, 0.1309, -3.1491
0.16200, 1.542, 1.483, 0.1309, -3.1491
0.16400, 1.561, 1.502, 0.1309, -3.1498
0.16600, 1.580, 1.521, 0.1309, -3.1498
0.16800, 1.599, 1.541, 0.1309, -3.1504
0.17000, 1.618, 1.560, 0.1309, -3.1504
0.17200, 1.637, 1.579, 0.1309, -3.1510
0.17400, 1.656, 1.596, 0.1309, -3.1516
0.17600, 1.674, 1.617, 0.1309, -3.1516
0.17800, 1.693, 1.588, 0.2618, -3.1523
0.18000, 1.712, 1.661, 0.2618, -3.1523
0.18200, 1.731, 1.679, 0.2618, -3.1529
0.18400, 1.750, 1.693, 0.2618, -3.1529
0.18600, 1.768, 1.710, 0.2618, -3.1535
0.18800, 1.787, 1.729, 0.2618, -3.1542
0.19000, 1.806, 1.746, 0.2618, -3.1542
0.19200, 1.824, 1.766, 0.2618, -3.1548
0.19400, 1.843, 1.784, 0.2618, -3.1548
0.19600, 1.862, 1.803, 0.2618, -3.1554
0.19800, 1.880, 1.823, 0.2618, -3.1560
0.20000, 1.899, 1.841, 0.2618, -3.1560
0.20200, 1.917, 1.862, 0.2618, -3.1567
0.20400, 1.936, 1.870, 0.3927, -3.1573
0.20600, 1.955, 1.897, 0.3927, -3.1579
0.20800, 1.973, 1.919, 0.3927, -3.1579
0.21000, 1.992, 1.933, 0.3927, -3.1586
0.21200, 2.010, 1.953, 0.3927, -3.1592
0.21400, 2.029, 1.970, 0.3927, -3.1598
0.21600, 2.047, 1.989, 0.3927, -3.1598
0.21800, 2.065, 2.008, 0.3927, -3.1604
0.22000, 2.084, 2.026, 0.3927, -3.1611
0.22200, 2.102, 2.047, 0.3927, -3.1617
0.22400, 2.121, 2.064, 0.3927, -3.1623
0.22600, 2.139, 2.072, 0.5236, -3.1630
0.22800, 2.157, 2.113, 0.5236, -3.1630
0.23000, 2.176, 2.122, 0.5236, -3.1636
0.23200, 2.194, 2.141, 0.5236, -3.1642
0.23400, 2.212, 2.154, 0.5236, -3.1648
0.23600, 2.230, 2.174, 0.5236, -3.1655
0.23800, 2.248, 2.192, 0.5236, -3.1661
0.24000, 2.267, 2.210, 0.5236, -3.1667
0.24200, 2.285, 2.231, 0.5236, -3.1674
0.24400, 2.303, 2.254, 0.6545, -3.1680
0.24600, 2.321, 2.273, 0.6545, -3.1686
0.24800, 2.339, 2.284, 0.6545, -3.1692
0.25000, 2.357, 2.300, 0.6545, -3.1699
0.25200, 2.375, 2.319, 0.6545, -3.1705
0.25400, 2.393, 2.334, 0.6545, -3.1711
0.25600, 2.411, 2.357, 0.6545, -3.1718
0.25800, 2.429, 2.374, 0.6545, -3.1724
0.26000, 2.447, 2.397, 0.7854, -3.1730
0.26200, 2.465, 2.418, 0.7854, -3.1736
