time(s),reference current(A),current(A),rw angle(rad),pendulum angle(rad)
0.00000, 0.000, 0.000, 667.8502, -3.1416
0.00200, 0.019, 0.001, 667.8502, -3.1416
0.00400, 0.038, 0.000, 667.8502, -3.1416
0.00600, 0.057, 0.006, 667.8502, -3.1416
0.00800, 0.075, 0.018, 667.8502, -3.1416
0.01000, 0.094, 0.037, 667.8502, -3.1416
0.01200, 0.113, 0.056, 667.8502, -3.1416
0.01400, 0.132, 0.076, 667.8502, -3.1416
0.01600, 0.151, 0.095, 667.8502, -3.1416
0.01800, 0.170, 0.115, 667.8502, -3.1416
0.02000, 0.189, 0.134, 667.8502, -3.1416
0.02200, 0.208, 0.151, 667.8502, -3.1416
0.02400, 0.227, 0.170, 667.8502, -3.1416
0.02600, 0.246, 0.189, 667.8502, -3.1416
0.02800, 0.265, 0.207, 667.8502, -3.1416
0.03000, 0.284, 0.227, 667.8502, -3.1416
0.03200, 0.303, 0.245, 667.8502, -3.1416
0.03400, 0.322, 0.265, 667.8502, -3.1416
0.03600, 0.341, 0.283, 667.8502, -3.1416
0.03800, 0.360, 0.302, 667.8502, -3.1416
0.04000, 0.379, 0.321, 667.8502, -3.1416
0.04200, 0.398, 0.340, 667.8502, -3.1416
0.04400, 0.417, 0.361, 667.8502, -3.1416
0.04600, 0.436, 0.378, 667.8502, -3.1416
0.04800, 0.455, 0.398, 667.8502, -3.1416
0.05000, 0.474, 0.417, 667.8502, -3.1416
0.05200, 0.494, 0.435, 667.8502, -3.1416
0.05400, 0.513, 0.455, 667.8502, -3.1416
0.05600, 0.532, 0.474, 667.8502, -3.1416
0.05800, 0.551, 0.494, 667.8502, -3.1416
0.06000, 0.570, 0.511, 667.8502, -3.1416
0.06200, 0.589, 0.530, 667.8502, -3.1416
0.06400, 0.608, 0.549, 667.8502, -3.1416
0.06600, 0.627, 0.569, 667.8502, -3.1416
0.06800, 0.646, 0.589, 667.8502, -3.1416
0.07000, 0.665, 0.607, 667.8502, -3.1416
0.07200, 0.685, 0.627, 667.8502, -3.1416
0.07400, 0.704, 0.645, 667.8502, -3.1416
0.07600, 0.723, 0.662, 667.9811, -3.1416
0.07800, 0.742, 0.686, 667.9811, -3.1416
0.08000, 0.761, 0.704, 667.9811, -3.1416
0.08200, 0.780, 0.721, 667.9811, -3.1416
0.08400, 0.799, 0.742, 667.9811, -3.1422
0.08600, 0.818, 0.759, 667.9811, -3.1422
0.08800, 0.838, 0.779, 667.9811, -3.1422
0.09000, 0.857, 0.799, 667.9811, -3.1422
0.09200, 0.876, 0.816, 667.9811, -3.1422
0.09400, 0.895, 0.837, 667.9811, -3.1422
0.09600, 0.914, 0.854, 667.9811, -3.1422
0.09800, 0.933, 0.874, 667.9811, -3.1422
0.10000, 0.952, 0.894, 667.9811, -3.1428
0.10200, 0.971, 0.913, 667.9811, -3.1428
0.10400, 0.991, 0.931, 667.9811, -3.1428
0.10600, 1.010, 0.950, 667.9811, -3.1428
0.10800, 1.029, 0.970, 667.9811, -3.1428
0.11000, 1.048, 0.989, 667.9811, -3.1428
0.11200, 1.067, 1.008, 667.9811, -3.1435
0.11400, 1.086, 1.027, 667.9811, -3.1435
0.11600, 1.105, 1.048, 667.9811, -3.1435
0.11800, 1.124, 1.066, 667.9811, -3.1435
0.12000, 1.143, 1.086, 667.9811, -3.1441
0.12200, 1.162, 1.104, 667.9811, -3.1441
0.12400, 1.182, 1.122, 667.9811, -3.1441
0.12600, 1.201, 1.143, 667.9811, -3.1441
0.12800, 1.220, 1.161, 667.9811, -3.1447
0.13000, 1.239, 1.181, 667.9811, -3.1447
0.13200, 1.258, 1.199, 667.9811, -3.1447
0.13400, 1.277, 1.218, 667.9811, -3.1454
0.13600, 1.296, 1.238, 667.9811, -3.1454
0.13800, 1.315, 1.256, 667.9811, -3.1454
0.14000, 1.334, 1.275, 667.9811, -3.1454
0.14200, 1.353, 1.295, 667.9811, -3.1460
0.14400, 1.372, 1.313, 667.9811, -3.1460
0.14600, 1.391, 1.332, 667.9811, -3.1466
0.14800, 1.410, 1.351, 667.9811, -3.1466
0.15000, 1.429, 1.371, 667.9811, -3.1466
0.15200, 1.448, 1.389, 667.9811, -3.1472
0.15400, 1.467, 1.408, 667.9811, -3.1472
0.15600, 1.486, 1.432, 668.1121, -3.1479
0.15800, 1.505, 1.455, 668.1121, -3.1479
0.16000, 1.524, 1.469, 668.1121, -3.1479
0.16200, 1.542, 1.487, 668.1121, -3.1485
0.16400, 1.561, 1.503, 668.1121, -3.1485
0.16600, 1.580, 1.522, 668.1121, -3.1491
0.16800, 1.599, 1.541, 668.1121, -3.1491
0.17000, 1.618, 1.559, 668.1121, -3.1498
0.17200, 1.637, 1.580, 668.1121, -3.1498
0.17400, 1.656, 1.596, 668.1121, -3.1504
0.17600, 1.674, 1.617, 668.1121, -3.1504
0.17800, 1.693, 1.636, 668.1121, -3.1510
0.18000, 1.712, 1.655, 668.1121, -3.1510
0.18200, 1.731, 1.674, 668.1121, -3.1516
0.18400, 1.750, 1.692, 668.1121, -3.1523
0.18600, 1.768, 1.711, 668.1121, -3.1523
0.18800, 1.787, 1.730, 668.1121, -3.1529
0.19000, 1.806, 1.752, 668.2429, -3.1529
0.19200, 1.824, 1.772, 668.2429, -3.1535
0.19400, 1.843, 1.787, 668.2429, -3.1542
0.19600, 1.862, 1.806, 668.2429, -3.1542
0.19800, 1.880, 1.823, 668.2429, -3.1548
0.20000, 1.899, 1.841, 668.2429, -3.1554
0.20200, 1.917, 1.860, 668.2429, -3.1554
0.20400, 1.936, 1.879, 668.2429, -3.1560
0.20600, 1.955, 1.898, 668.2429, -3.1567
0.20800, 1.973, 1.916, 668.2429, -3.1573
0.21000, 1.992, 1.934, 668.2429, -3.1573
0.21200, 2.010, 1.954, 668.2429, -3.1579
0.21400, 2.029, 1.973, 668.2429, -3.1586
0.21600, 2.047, 1.954, 668.3738, -3.1592
0.21800, 2.065, 2.015, 668.3738, -3.1598
0.22000, 2.084, 2.030, 668.3738, -3.1598
0.22200, 2.102, 2.049, 668.3738, -3.1604
0.22400, 2.121, 2.061, 668.3738, -3.1611
0.22600, 2.139, 2.085, 668.3738, -3.1617
0.22800, 2.157, 2.100, 668.3738, -3.1623
0.23000, 2.176, 2.120, 668.3738, -3.1630
0.23200, 2.194, 2.139, 668.3738, -3.1636
0.23400, 2.212, 2.157, 668.5048, -3.1642
0.23600, 2.230, 2.181, 668.5048, -3.1648
0.23800, 2.248, 2.199, 668.5048, -3.1648
0.24000, 2.267, 2.213, 668.5048, -3.1655
0.24200, 2.285, 2.231, 668.5048, -3.1661
0.24400, 2.303, 2.246, 668.5048, -3.1667
0.24600, 2.321, 2.265, 668.5048, -3.1674
0.24800, 2.339, 2.284, 668.5048, -3.1680
0.25000, 2.357, 2.304, 668.5048, -3.1686
0.25200, 2.375, 2.278, 668.6356, -3.1692
0.25400, 2.393, 2.345, 668.6356, -3.1699
0.25600, 2.411, 2.361, 668.6356, -3.1705
0.25800, 2.429, 2.375, 668.6356, -3.1718
0.26000, 2.447, 2.390, 668.6356, -3.1724
0.26200, 2.465, 2.413, 668.6356, -3.1730
0.26400, 2.482, 2.427, 668.6356, -3.1736
0.26600, 2.500, 2.448, 668.6356, -3.1743
0.26800, 2.518, 2.438, 668.7665, -3.1749
0.27000, 2.536, 2.484, 668.7665, -3.1755
0.27200, 2.553, 2.499, 668.7665, -3.1762
0.27400, 2.571, 2.517, 668.7665, -3.1774
0.27600, 2.589, 2.534, 668.7665, -3.1780
0.27800, 2.606, 2.555, 668.7665, -3.1787
0.28000, 2.624, 2.500, 668.8975, -3.1793
0.28200, 2.641, 2.599, 668.8975, -3.1799
0.28400, 2.659, 2.616, 668.8975, -3.1812
0.28600, 2.676, 2.626, 668.8975, -3.1818
0.28800, 2.694, 2.643, 668.8975, -3.1824
0.29000, 2.711, 2.663, 668.8975, -3.1831
0.29200, 2.728, 2.643, 669.0283, -3.1843
0.29400, 2.746, 2.707, 669.0283, -3.1849
0.29600, 2.763, 2.713, 669.0283, -3.1856
0.29800, 2.780, 2.731, 669.0283, -3.1862
0.30000, 2.797, 2.748, 669.0283, -3.1875
0.30200, 2.815, 2.765, 669.0283, -3.1881
0.30400, 2.832, 2.749, 669.1592, -3.1887
0.30600, 2.849, 2.803, 669.1592, -3.1900
0.30800, 2.866, 2.818, 669.1592, -3.1906
0.31000, 2.883, 2.834, 669.1592, -3.1912
0.31200, 2.900, 2.850, 669.1592, -3.1925
0.31400, 2.917, 2.836, 669.2902, -3.1931
