time(s),reference current(A),current(A),rw angle(rad),pendulum angle(rad)
0.00000, 0.000, 0.000, 0.0000, -3.1416
0.00200, 0.031, 0.001, 0.0000, -3.1416
0.00400, 0.063, 0.000, 0.0000, -3.1416
0.00600, 0.094, 0.002, 0.0000, -3.1416
0.00800, 0.126, 0.015, 0.0000, -3.1416
0.01000, 0.158, 0.046, 0.0000, -3.1416
0.01200, 0.189, 0.077, 0.0000, -3.1416
0.01400, 0.221, 0.110, 0.0000, -3.1416
0.01600, 0.252, 0.142, 0.0000, -3.1416
0.01800, 0.284, 0.172, 0.0000, -3.1416
0.02000, 0.316, 0.203, 0.0000, -3.1416
0.02200, 0.348, 0.234, 0.0000, -3.1416
0.02400, 0.379, 0.266, 0.0000, -3.1416
0.02600, 0.411, 0.298, 0.0000, -3.1416
0.02800, 0.443, 0.329, 0.0000, -3.1416
0.03000, 0.475, 0.360, 0.0000, -3.1416
0.03200, 0.507, 0.393, 0.0000, -3.1416
0.03400, 0.538, 0.425, 0.0000, -3.1416
0.03600, 0.570, 0.456, 0.0000, -3.1416
0.03800, 0.602, 0.488, 0.0000, -3.1416
0.04000, 0.634, 0.520, 0.0000, -3.1416
0.04200, 0.666, 0.553, 0.0000, -3.1416
0.04400, 0.698, 0.585, 0.0000, -3.1416
0.04600, 0.730, 0.615, 0.0000, -3.1416
0.04800, 0.762, 0.647, 0.0000, -3.1416
0.05000, 0.794, 0.679, 0.0000, -3.1416
0.05200, 0.826, 0.712, 0.0000, -3.1416
0.05400, 0.858, 0.743, 0.0000, -3.1416
0.05600, 0.890, 0.775, 0.0000, -3.1416
0.05800, 0.922, 0.806, 0.0000, -3.1416
0.06000, 0.954, 0.839, 0.0000, -3.1416
0.06200, 0.986, 0.872, 0.0000, -3.1416
0.06400, 1.017, 0.903, 0.0000, -3.1422
0.06600, 1.049, 0.935, 0.0000, -3.1422
0.06800, 1.081, 0.967, 0.0000, -3.1422
0.07000, 1.113, 1.000, 0.0000, -3.1422
0.07200, 1.145, 1.030, 0.0000, -3.1422
0.07400, 1.177, 1.061, 0.0000, -3.1422
0.07600, 1.209, 1.094, 0.0000, -3.1422
0.07800, 1.241, 1.127, 0.0000, -3.1428
0.08000, 1.273, 1.158, 0.0000, -3.1428
0.08200, 1.304, 1.189, 0.0000, -3.1428
0.08400, 1.336, 1.220, 0.0000, -3.1428
0.08600, 1.368, 1.255, 0.0000, -3.1428
0.08800, 1.400, 1.287, 0.0000, -3.1435
0.09000, 1.432, 1.317, 0.0000, -3.1435
0.09200, 1.463, 1.349, 0.0000, -3.1435
0.09400, 1.495, 1.380, 0.0000, -3.1435
0.09600, 1.527, 1.413, 0.0000, -3.1441
0.09800, 1.558, 1.443, 0.0000, -3.1441
0.10000, 1.590, 1.475, 0.0000, -3.1441
0.10200, 1.621, 1.507, 0.0000, -3.1447
0.10400, 1.653, 1.540, 0.0000, -3.1447
0.10600, 1.684, 1.572, 0.0000, -3.1447
0.10800, 1.716, 1.602, 0.0000, -3.1454
0.11000, 1.747, 1.633, 0.0000, -3.1454
0.11200, 1.779, 1.665, 0.0000, -3.1460
0.11400, 1.810, 1.698, 0.0000, -3.1460
0.11600, 1.841, 1.728, 0.0000, -3.1460
0.11800, 1.872, 1.759, 0.0000, -3.1466
0.12000, 1.904, 1.792, 0.0000, -3.1466
0.12200, 1.935, 1.824, 0.0000, -3.1472
0.12400, 1.966, 1.810, 0.1309, -3.1472
0.12600, 1.997, 1.891, 0.1309, -3.1479
0.12800, 2.028, 1.923, 0.1309, -3.1479
0.13000, 2.059, 1.948, 0.1309, -3.1485
0.13200, 2.089, 1.979, 0.1309, -3.1485
0.13400, 2.120, 2.011, 0.1309, -3.1491
0.13600, 2.151, 2.040, 0.1309, -3.1498
0.13800, 2.182, 2.072, 0.1309, -3.1498
0.14000, 2.212, 2.103, 0.1309, -3.1504
0.14200, 2.243, 2.132, 0.1309, -3.1504
0.14400, 2.273, 2.165, 0.1309, -3.1510
0.14600, 2.303, 2.194, 0.1309, -3.1516
0.14800, 2.334, 2.226, 0.1309, -3.1523
0.15000, 2.364, 2.256, 0.1309, -3.1523
0.15200, 2.394, 2.287, 0.1309, -3.1529
0.15400, 2.424, 2.317, 0.1309, -3.1535
0.15600, 2.454, 2.346, 0.2618, -3.1542
0.15800, 2.484, 2.387, 0.2618, -3.1542
0.16000, 2.514, 2.407, 0.2618, -3.1548
0.16200, 2.543, 2.438, 0.2618, -3.1554
0.16400, 2.573, 2.468, 0.2618, -3.1560
0.16600, 2.603, 2.494, 0.2618, -3.1567
0.16800, 2.632, 2.527, 0.2618, -3.1573
0.17000, 2.661, 2.553, 0.2618, -3.1579
0.17200, 2.691, 2.587, 0.2618, -3.1586
0.17400, 2.720, 2.617, 0.2618, -3.1592
0.17600, 2.749, 2.636, 0.3927, -3.1598
0.17800, 2.778, 2.683, 0.3927, -3.1598
0.18000, 2.807, 2.710, 0.3927, -3.1611
0.18200, 2.836, 2.735, 0.3927, -3.1617
0.18400, 2.864, 2.760, 0.3927, -3.1623
0.18600, 2.893, 2.790, 0.3927, -3.1630
0.18800, 2.921, 2.820, 0.3927, -3.1636
0.19000, 2.949, 2.849, 0.3927, -3.1642
0.19200, 2.978, 2.878, 0.3927, -3.1648
0.19400, 3.006, 2.819, 0.5236, -3.1655
0.19600, 3.034, 2.941, 0.5236, -3.1667
0.19800, 3.062, 2.970, 0.5236, -3.1674
0.20000, 3.089, 2.993, 0.5236, -3.1680
0.20200, 3.117, 3.016, 0.5236, -3.1686
0.20400, 3.144, 3.047, 0.5236, -3.1699
0.20600, 3.172, 3.073, 0.5236, -3.1705
0.20800, 3.199, 3.062, 0.6545, -3.1711
0.21000, 3.226, 3.130, 0.6545, -3.1724
0.21200, 3.253, 3.160, 0.6545, -3.1730
0.21400, 3.280, 3.185, 0.6545, -3.1736
0.21600, 3.307, 3.209, 0.6545, -3.1749
0.21800, 3.333, 3.242, 0.6545, -3.1755
0.22000, 3.359, 3.267, 0.6545, -3.1768
0.22200, 3.386, 3.298, 0.7854, -3.1774
0.22400, 3.412, 3.334, 0.7854, -3.1780
0.22600, 3.438, 3.346, 0.7854, -3.1793
0.22800, 3.464, 3.376, 0.7854, -3.1799
0.23000, 3.489, 3.397, 0.7854, -3.1812
0.23200, 3.515, 3.344, 0.9163, -3.1824
0.23400, 3.540, 3.459, 0.9163, -3.1831
0.23600, 3.565, 3.479, 0.9163, -3.1843
0.23800, 3.591, 3.505, 0.9163, -3.1849
0.24000, 3.615, 3.526, 0.9163, -3.1862
0.24200, 3.640, 3.559, 1.0472, -3.1875
0.24400, 3.665, 3.577, 1.0472, -3.1881
0.24600, 3.689, 3.612, 1.0472, -3.1893
0.24800, 3.713, 3.629, 1.0472, -3.1906
0.25000, 3.738, 3.652, 1.0472, -3.1912
0.25200, 3.761, 3.625, 1.1781, -3.1925
0.25400, 3.785, 3.710, 1.1781, -3.1937
0.25600, 3.809, 3.735, 1.1781, -3.1950
0.25800, 3.832, 3.751, 1.1781, -3.1963
0.26000, 3.855, 3.775, 1.1781, -3.1969
0.26200, 3.878, 3.782, 1.3090, -3.1981
0.26400, 3.901, 3.829, 1.3090, -3.1994
0.26600, 3.924, 3.850, 1.3090, -3.2007
0.26800, 3.946, 3.871, 1.3090, -3.2019
0.27000, 3.969, 3.853, 1.4399, -3.2032
0.27200, 3.991, 3.921, 1.4399, -3.2044
0.27400, 4.013, 3.933, 1.4399, -3.2057
0.27600, 4.034, 3.964, 1.4399, -3.2069
0.27800, 4.056, 3.956, 1.5708, -3.2082
0.28000, 4.077, 4.021, 1.5708, -3.2095
0.28200, 4.098, 4.030, 1.5708, -3.2107
0.28400, 4.119, 4.055, 1.5708, -3.2120
0.28600, 4.140, 4.073, 1.7017, -3.2132
0.28800, 4.161, 4.096, 1.7017, -3.2145
0.29000, 4.181, 4.114, 1.7017, -3.2157
0.29200, 4.201, 4.049, 1.8326, -3.2170
0.29400, 4.221, 4.165, 1.8326, -3.2182
0.29600, 4.241, 4.177, 1.8326, -3.2201
0.29800, 4.260, 4.196, 1.9635, -3.2214
0.30000, 4.280, 4.221, 1.9635, -3.2226
0.30200, 4.299, 4.246, 1.9635, -3.2239
0.30400, 4.317, 4.258, 1.9635, -3.2252
0.30600, 4.336, 4.247, 2.0944, -3.2270
0.30800, 4.354, 4.305, 2.0944, -3.2283
0.31000, 4.373, 4.310, 2.0944, -3.2296
0.31200, 4.391, 4.311, 2.2253, -3.2308
0.31400, 4.408, 4.344, 2.2253, -3.2327
0.31600, 4.426, 4.370, 2.2253, -3.2340
0.31800, 4.443, 4.361, 2.3562, -3.2352
0.32000, 4.460, 4.413, 2.3562, -3.2371
0.32200, 4.477, 4.436, 2.3562, -3.2384
0.32400, 4.494, 4.431, 2.4871, -3.2402
0.32600, 4.510, 4.468, 2.4871, -3.2415
0.32800, 4.526, 4.483, 2.4871, -3.2428
0.33000, 4.542, 4.485, 2.6180, -3.2446
0.33200, 4.557, 4.521, 2.6180, -3.2459
0.33400, 4.573, 4.441, 2.7489, -3.2478
0.33600, 4.588, 4.557, 2.7489, -3.2490
0.33800, 4.603, 4.565, 2.7489, -3.2503
0.34000, 4.617, 4.503, 2.8798, -3.2522
0.34200, 4.632, 4.596, 2.8798, -3.2534
0.34400, 4.646, 4.606, 2.8798, -3.2553
0.34600, 4.660, 4.613, 3.0107, -3.2572
0.34800, 4.673, 4.632, 3.0107, -3.2585
0.35000, 4.687, 4.567, 3.1416, -3.2603
0.35200, 4.700, 4.676, 3.1416, -3.2616
0.35400, 4.713, 4.684, 3.1416, -3.2629
0.35600, 4.725, 4.703, 3.2725, -3.2647
