time(s),reference current(A),current(A),rw angle(rad),pendulum angle(rad)
0.00000, 0.000, 0.000, 317.0391, -3.1416
0.00200, 0.031, 0.000, 317.0391, -3.1416
0.00400, 0.063, -0.001, 317.0391, -3.1416
0.00600, 0.094, 0.000, 317.0391, -3.1416
0.00800, 0.126, 0.006, 317.0391, -3.1416
0.01000, 0.158, 0.041, 317.0391, -3.1416
0.01200, 0.189, 0.079, 317.0391, -3.1416
0.01400, 0.221, 0.112, 317.0391, -3.1416
0.01600, 0.252, 0.145, 317.0391, -3.1416
0.01800, 0.284, 0.176, 317.0391, -3.1416
0.02000, 0.316, 0.207, 317.0391, -3.1416
0.02200, 0.348, 0.239, 317.0391, -3.1416
0.02400, 0.379, 0.271, 317.0391, -3.1416
0.02600, 0.411, 0.304, 317.0391, -3.1416
0.02800, 0.443, 0.334, 317.0391, -3.1416
0.03000, 0.475, 0.367, 317.0391, -3.1416
0.03200, 0.507, 0.398, 317.0391, -3.1416
0.03400, 0.538, 0.429, 317.0391, -3.1416
0.03600, 0.570, 0.462, 317.0391, -3.1416
0.03800, 0.602, 0.494, 317.0391, -3.1416
0.04000, 0.634, 0.527, 317.0391, -3.1416
0.04200, 0.666, 0.557, 317.0391, -3.1416
0.04400, 0.698, 0.590, 317.0391, -3.1416
0.04600, 0.730, 0.622, 317.0391, -3.1416
0.04800, 0.762, 0.654, 317.0391, -3.1416
0.05000, 0.794, 0.686, 317.0391, -3.1416
0.05200, 0.826, 0.716, 317.0391, -3.1416
0.05400, 0.858, 0.750, 317.0391, -3.1416
0.05600, 0.890, 0.780, 317.0391, -3.1416
0.05800, 0.922, 0.812, 317.0391, -3.1416
0.06000, 0.954, 0.844, 317.0391, -3.1416
0.06200, 0.986, 0.876, 317.0391, -3.1416
0.06400, 1.017, 0.910, 317.0391, -3.1416
0.06600, 1.049, 0.940, 317.0391, -3.1416
0.06800, 1.081, 0.973, 317.0391, -3.1416
0.07000, 1.113, 1.004, 317.0391, -3.1416
0.07200, 1.145, 1.038, 317.0391, -3.1422
0.07400, 1.177, 1.068, 317.0391, -3.1422
0.07600, 1.209, 1.099, 317.0391, -3.1422
0.07800, 1.241, 1.132, 317.0391, -3.1422
0.08000, 1.273, 1.164, 317.0391, -3.1422
0.08200, 1.304, 1.197, 317.0391, -3.1428
0.08400, 1.336, 1.227, 317.0391, -3.1428
0.08600, 1.368, 1.259, 317.0391, -3.1428
0.08800, 1.400, 1.291, 317.0391, -3.1428
