time(s),reference current(A),current(A),rw angle(rad),pendulum angle(rad)
0.00000, -1.000, 0.000, 0.0000, 0.0000
0.00028, -1.000, 0.000, 0.0000, 0.0000
0.00056, -1.000, 0.000, 0.0000, 0.0000
0.00087, -1.000, 0.000, 0.0000, 0.0000
0.00116, -1.000, 0.000, 0.0000, 0.0000
0.00144, -1.000, 0.000, 0.0000, 0.0000
0.00173, -1.000, -0.255, 0.0000, 0.0000
0.00213, -1.000, -0.255, 0.0000, 0.0000
0.00243, -1.000, -0.255, 0.0000, 0.0000
0.00274, -1.000, -0.255, 0.0000, 0.0000
0.00305, -1.000, -0.255, 0.0000, 0.0000
0.00335, -1.000, -0.255, 0.0000, 0.0000
0.00366, -1.000, -0.587, 0.0000, 0.0000
0.00409, -1.000, -0.587, 0.0000, 0.0000
0.00439, -1.000, -0.587, 0.0000, 0.0000
0.00472, -1.000, -0.587, 0.0000, 0.0000
0.00502, -1.000, -0.587, 0.0000, 0.0000
0.00533, -1.000, -0.587, 0.0000, 0.0000
0.00564, -1.000, -0.784, 0.0000, 0.0000
0.00610, -1.000, -0.784, 0.0000, 0.0000
0.00641, -1.000, -0.784, 0.0000, 0.0000
0.00671, -1.000, -0.784, 0.0000, 0.0000
0.00702, -1.000, -0.784, 0.0000, 0.0000
0.00733, -1.000, -0.784, 0.0000, 0.0000
0.00763, -1.000, -0.884, 0.0000, 0.0000
0.00806, -1.000, -0.884, 0.0000, 0.0000
0.00836, -1.000, -0.884, 0.0000, 0.0000
0.00867, -1.000, -0.884, 0.0000, 0.0000
0.00898, -1.000, -0.884, 0.0000, 0.0000
0.00929, -1.000, -0.884, 0.0000, 0.0000
0.00959, -1.000, -0.938, 0.0000, 0.0000
0.01009, -1.000, -0.938, 0.0000, 0.0000
0.01040, -1.000, -0.938, 0.0000, 0.0000
0.01071, -1.000, -0.938, 0.0000, 0.0000
0.01101, -1.000, -0.938, 0.0000, 0.0000
0.01134, -1.000, -0.938, 0.0000, 0.0000
0.01164, -1.000, -0.967, 0.0000, 0.0000
0.01212, -1.000, -0.967, 0.0000, 0.0000
0.01243, -1.000, -0.967, 0.0000, 0.0000
0.01273, -1.000, -0.967, 0.0000, 0.0000
0.01304, -1.000, -0.967, 0.0000, 0.0000
0.01335, -1.000, -0.967, 0.0000, 0.0000
0.01385, -1.000, -0.985, 0.0000, 0.0000
0.01423, -1.000, -0.985, 0.0000, 0.0000
0.01454, -1.000, -0.985, 0.0000, 0.0000
0.01485, -1.000, -0.985, 0.0000, 0.0000
0.01515, -1.000, -0.985, 0.0000, 0.0000
0.01546, -1.000, -0.985, 0.0000, 0.0000
0.01577, -1.000, -0.989, 0.0000, 0.0000
0.01615, -1.000, -0.989, 0.0000, 0.0000
0.01646, -1.000, -0.989, 0.0000, 0.0000
0.01677, -1.000, -0.989, 0.0000, 0.0000
0.01707, -1.000, -0.989, 0.0000, 0.0000
0.01740, -1.000, -0.989, 0.0000, 0.0000
0.01770, -1.000, -0.996, 0.0000, 0.0000
0.01811, -1.000, -0.996, 0.0000, 0.0000
0.01841, -1.000, -0.996, 0.0000, 0.0000
0.01872, -1.000, -0.996, 0.0000, 0.0000
0.01903, -1.000, -0.996, 0.0000, 0.0000
0.01933, -1.000, -0.996, 0.0000, 0.0000
0.01964, -1.000, -0.996, 0.0000, 0.0000
0.01995, -1.000, -0.997, 0.0000, 0.0000
0.02033, -1.000, -0.997, 0.0000, 0.0000
0.02063, -1.000, -0.997, 0.0000, 0.0000
0.02094, -1.000, -0.997, 0.0000, 0.0000
0.02125, -1.000, -0.997, 0.0000, 0.0000
0.02155, -1.000, -0.997, 0.0000, 0.0000
0.02186, -1.000, -0.998, 0.0000, 0.0000
0.02224, -1.000, -0.998, 0.0000, 0.0000
0.02254, -1.000, -0.998, 0.0000, 0.0000
0.02287, -1.000, -0.998, 0.0000, 0.0000
0.02318, -1.000, -0.998, 0.0000, 0.0000
0.02348, -1.000, -0.998, 0.0000, 0.0000
0.02379, -1.000, -1.000, 0.0000, 0.0000
0.02417, -1.000, -1.000, 0.0000, 0.0000
0.02447, -1.000, -1.000, 0.0000, 0.0000
0.02477, -1.000, -1.000, 0.0000, 0.0000
0.02508, -1.000, -1.000, 0.0000, 0.0000
0.02539, -1.000, -1.000, 0.0000, 0.0000
0.02569, -1.000, -0.998, 0.0000, 0.0000
0.02612, -1.000, -0.998, 0.0000, 0.0000
0.02643, -1.000, -0.998, 0.0000, 0.0000
0.02674, -1.000, -0.998, 0.0000, 0.0000
0.02704, -1.000, -0.998, 0.0000, 0.0000
0.02735, -1.000, -0.998, 0.0000, 0.0000
0.02766, -1.000, -1.000, 0.0000, 0.0000
0.02809, -1.000, -1.000, 0.0000, 0.0000
0.02839, -1.000, -1.000, 0.0000, 0.0000
0.02869, -1.000, -1.000, 0.0000, 0.0000
0.02899, -1.000, -1.000, 0.0000, 0.0000
0.02931, -1.000, -1.000, 0.0000, 0.0000
0.02961, -1.000, -0.999, 0.0000, 0.0000
0.03011, -1.000, -0.999, 0.0000, 0.0000
0.03044, -1.000, -0.999, 0.0000, 0.0000
0.03074, -1.000, -0.999, 0.0000, 0.0000
0.03105, -1.000, -0.999, 0.0000, 0.0000
0.03136, -1.000, -0.999, 0.0000, 0.0000
0.03167, -1.000, -0.999, 0.0000, 0.0000
0.03197, -1.000, -0.998, 0.0000, 0.0000
0.03242, -1.000, -0.998, 0.0000, 0.0000
0.03273, -1.000, -0.998, 0.0000, 0.0000
0.03304, -1.000, -0.998, 0.0000, 0.0000
0.03334, -1.000, -0.998, 0.0000, 0.0000
0.03365, -1.000, -1.000, 0.0000, 0.0000
0.03409, -1.000, -1.000, 0.0000, 0.0000
0.03439, -1.000, -1.000, 0.0000, 0.0000
0.03470, -1.000, -1.000, 0.0000, 0.0000
0.03500, -1.000, -1.000, 0.0000, 0.0000
0.03530, -1.000, -1.000, 0.0000, 0.0000
0.03561, -1.000, -0.998, 0.0000, 0.0000
0.03610, -1.000, -0.998, 0.0000, 0.0000
0.03641, -1.000, -0.998, 0.0000, 0.0000
0.03672, -1.000, -0.998, 0.0000, 0.0000
0.03703, -1.000, -0.998, 0.0000, 0.0000
0.03734, -1.000, -0.998, 0.0000, 0.0000
0.03764, -1.000, -1.000, 0.0000, 0.0000
0.03810, -1.000, -1.000, 0.0000, 0.0000
0.03841, -1.000, -1.000, 0.0000, 0.0000
0.03872, -1.000, -1.000, 0.0000, 0.0000
0.03903, -1.000, -1.000, 0.0000, 0.0000
0.03933, -1.000, -1.000, 0.0000, 0.0000
0.03963, -1.000, -0.998, 0.0000, 0.0000
0.04009, -1.000, -0.998, 0.0000, 0.0000
0.04041, -1.000, -0.998, 0.0000, 0.0000
0.04074, -1.000, -0.998, 0.0000, 0.0000
0.04106, -1.000, -0.998, 0.0000, 0.0000
0.04136, -1.000, -0.998, 0.0000, 0.0000
0.04167, -1.000, -1.000, 0.0000, 0.0000
0.04210, -1.000, -1.000, 0.0000, 0.0000
0.04242, -1.000, -1.000, 0.0000, 0.0000
0.04273, -1.000, -1.000, 0.0000, 0.0000
0.04303, -1.000, -1.000, 0.0000, 0.0000
0.04333, -1.000, -1.000, 0.0000, 0.0000
0.04363, -1.000, -0.999, 0.0000, 0.0000
0.04409, -1.000, -0.999, 0.0000, 0.0000
0.04440, -1.000, -0.999, 0.0000, 0.0000
0.04471, -1.000, -0.999, 0.0000, 0.0000
0.04502, -1.000, -0.999, 0.0000, 0.0000
0.04532, -1.000, -0.999, 0.0000, 0.0000
0.04563, -1.000, -0.999, 0.0000, 0.0000
0.04594, -1.000, -0.998, 0.0000, 0.0000
0.04632, -1.000, -0.998, 0.0000, 0.0000
0.04662, -1.000, -0.998, 0.0000, 0.0000
0.04693, -1.000, -0.998, 0.0000, 0.0000
0.04724, -1.000, -0.998, 0.0000, 0.0000
0.04755, -1.000, -1.000, 0.0000, 0.0000
0.04805, -1.000, -1.000, 0.0000, 0.0000
0.04836, -1.000, -1.000, 0.0000, 0.0000
0.04866, -1.000, -1.000, 0.0000, 0.0000
0.04896, -1.000, -1.000, 0.0000, 0.0000
0.04926, -1.000, -1.000, 0.0000, 0.0000
0.04958, -1.000, -0.999, 0.0000, 0.0000
0.05009, -1.000, -0.999, 0.0000, 0.0000
0.05040, -1.000, -0.999, 0.0000, 0.0000
0.05071, -1.000, -0.999, 0.0000, 0.0000
0.05101, -1.000, -0.999, 0.0000, 0.0000
0.05133, -1.000, -0.999, 0.0000, 0.0000
0.05166, -1.000, -1.000, 0.0000, 0.0000
0.05210, -1.000, -1.000, 0.0000, 0.0000
0.05240, -1.000, -1.000, 0.0000, 0.0000
0.05270, -1.000, -1.000, 0.0000, 0.0000
0.05301, -1.000, -1.000, 0.0000, 0.0000
0.05331, -1.000, -1.000, 0.0000, 0.0000
0.05361, -1.000, -0.999, 0.0000, 0.0000
0.05405, -1.000, -0.999, 0.0000, 0.0000
0.05438, -1.000, -0.999, 0.0000, 0.0000
0.05468, -1.000, -0.999, 0.0000, 0.0000
0.05499, -1.000, -0.999, 0.0000, 0.0000
0.05530, -1.000, -0.999, 0.0000, 0.0000
0.05561, -1.000, -0.999, 0.0000, 0.0000
0.05592, -1.000, -0.999, 0.0000, 0.0000
0.05622, -1.000, -0.999, 0.0000, 0.0000
0.05653, -1.000, -0.999, 0.0000, 0.0000
0.05684, -1.000, -0.999, 0.0000, 0.0000
0.05715, -1.000, -0.999, 0.0000, 0.0000
0.05746, -1.000, -0.999, 0.0000, 0.0000
0.05776, -1.000, -1.000, 0.0000, 0.0000
0.05814, -1.000, -1.000, 0.0000, 0.0000
0.05844, -1.000, -1.000, 0.0000, 0.0000
0.05874, -1.000, -1.000, 0.0000, 0.0000
0.05905, -1.000, -1.000, 0.0000, 0.0000
0.05935, -1.000, -1.000, 0.0000, 0.0000
0.05965, -1.000, -0.999, 0.0000, 0.0000
0.06011, -1.000, -0.999, 0.0000, 0.0000
0.06042, -1.000, -0.999, 0.0000, 0.0000
0.06072, -1.000, -0.999, 0.0000, 0.0000
0.06103, -1.000, -0.999, 0.0000, 0.0000
0.06134, -1.000, -0.999, 0.0000, 0.0000
0.06164, -1.000, -1.000, 0.0000, 0.0000
0.06210, -1.000, -1.000, 0.0000, 0.0000
0.06241, -1.000, -1.000, 0.0000, 0.0000
0.06271, -1.000, -1.000, 0.0000, 0.0000
0.06301, -1.000, -1.000, 0.0000, 0.0000
0.06331, -1.000, -1.000, 0.0000, 0.0000
0.06362, -1.000, -0.999, 0.0000, 0.0000
0.06406, -1.000, -0.999, 0.0000, 0.0000
0.06438, -1.000, -0.999, 0.0000, 0.0000
0.06468, -1.000, -0.999, 0.0000, 0.0000
0.06499, -1.000, -0.999, 0.0000, 0.0000
0.06530, -1.000, -0.999, 0.0000, 0.0000
0.06561, -1.000, -1.000, 0.0000, 0.0000
0.06610, -1.000, -1.000, 0.0000, 0.0000
0.06640, -1.000, -1.000, 0.0000, 0.0000
0.06670, -1.000, -1.000, 0.0000, 0.0000
0.06701, -1.000, -1.000, 0.0000, 0.0000
0.06731, -1.000, -1.000, 0.0000, 0.0000
0.06761, -1.000, -1.000, 0.0000, 0.0000
0.06792, -1.000, -1.000, 0.0000, 0.0000
0.06823, -1.000, -1.001, 0.0000, 0.0000
0.06871, -1.000, -1.001, 0.0000, 0.0000
0.06902, -1.000, -1.001, 0.0000, 0.0000
0.06932, -1.000, -1.001, 0.0000, 0.0000
0.06963, -1.000, -0.999, 0.0000, 0.0000
0.07010, -1.000, -0.999, 0.0000, 0.0000
0.07041, -1.000, -0.999, 0.0000, 0.0000
0.07071, -1.000, -0.999, 0.0000, 0.0000
0.07102, -1.000, -0.999, 0.0000, 0.0000
0.07133, -1.000, -0.999, 0.0000, 0.0000
0.07164, -1.000, -1.001, 0.0000, 0.0000
0.07206, -1.000, -1.001, 0.0000, 0.0000
0.07237, -1.000, -1.001, 0.0000, 0.0000
0.07267, -1.000, -1.001, 0.0000, 0.0000
0.07298, -1.000, -1.001, 0.0000, 0.0000
0.07329, -1.000, -1.001, 0.0000, 0.0000
0.07359, -1.000, -0.999, 0.0000, 0.0000
0.07411, -1.000, -0.999, 0.0000, 0.0000
0.07441, -1.000, -0.999, 0.0000, 0.0000
0.07474, -1.000, -0.999, 0.0000, 0.0000
0.07505, -1.000, -0.999, 0.0000, 0.0000
0.07537, -1.000, -0.999, 0.0000, 0.0000
0.07569, -1.000, -1.000, 0.0000, 0.0000
0.07610, -1.000, -1.000, 0.0000, 0.0000
0.07640, -1.000, -1.000, 0.0000, 0.0000
0.07670, -1.000, -1.000, 0.0000, 0.0000
0.07702, -1.000, -1.000, 0.0000, 0.0000
0.07732, -1.000, -1.000, 0.0000, 0.0000
0.07763, -1.000, -1.000, 0.0000, 0.0000
0.07793, -1.000, -1.001, 0.0000, 0.0000
0.07842, -1.000, -1.001, 0.0000, 0.0000
0.07872, -1.000, -1.001, 0.0000, 0.0000
0.07903, -1.000, -1.001, 0.0000, 0.0000
0.07934, -1.000, -1.001, 0.0000, 0.0000
0.07965, -1.000, -0.999, 0.0000, 0.0000
0.08010, -1.000, -0.999, 0.0000, 0.0000
0.08042, -1.000, -0.999, 0.0000, 0.0000
0.08075, -1.000, -0.999, 0.0000, 0.0000
0.08105, -1.000, -0.999, 0.0000, 0.0000
0.08136, -1.000, -0.999, 0.0000, 0.0000
0.08167, -1.000, -1.000, 0.0000, 0.0000
0.08211, -1.000, -1.000, 0.0000, 0.0000
