time(s),reference current(A),current(A),rw angle(rad),pendulum angle(rad)
0.00000, 0.625, 0.000, 0.0000, 0.0000
0.00028, 0.625, 0.000, 0.0000, 0.0000
0.00056, 0.625, 0.006, 0.0000, 0.0000
0.00096, 0.625, 0.006, 0.0000, 0.0000
0.00126, 0.625, 0.006, 0.0000, 0.0000
0.00159, 0.625, 0.006, 0.0000, 0.0000
0.00189, 0.625, 0.006, 0.0000, 0.0000
0.00220, 0.625, 0.234, 0.0000, 0.0000
0.00259, 0.625, 0.234, 0.0000, 0.0000
0.00289, 0.625, 0.234, 0.0000, 0.0000
0.00320, 0.625, 0.234, 0.0000, 0.0000
0.00350, 0.625, 0.234, 0.0000, 0.0000
0.00381, 0.625, 0.234, 0.0000, 0.0000
0.00412, 0.625, 0.410, 0.0000, 0.0000
0.00453, 0.625, 0.410, 0.0000, 0.0000
0.00483, 0.625, 0.410, 0.0000, 0.0000
0.00514, 0.625, 0.410, 0.0000, 0.0000
0.00544, 0.625, 0.410, 0.0000, 0.0000
0.00575, 0.625, 0.410, 0.0000, 0.0000
0.00605, 0.625, 0.510, 0.0000, 0.0000
0.00654, 0.625, 0.510, 0.0000, 0.0000
0.00685, 0.625, 0.510, 0.0000, 0.0000
0.00716, 0.625, 0.510, 0.0000, 0.0000
0.00747, 0.625, 0.510, 0.0000, 0.0000
0.00777, 0.625, 0.510, 0.0000, 0.0000
0.00808, 0.625, 0.564, 0.0000, 0.0000
0.00857, 0.625, 0.564, 0.0000, 0.0000
0.00887, 0.625, 0.564, 0.0000, 0.0000
0.00918, 0.625, 0.564, 0.0000, 0.0000
0.00949, 0.625, 0.564, 0.0000, 0.0000
0.00980, 0.625, 0.564, 0.0000, 0.0000
0.01011, 0.625, 0.594, 0.0000, 0.0000
0.01057, 0.625, 0.594, 0.0000, 0.0000
0.01087, 0.625, 0.594, 0.0000, 0.0000
0.01118, 0.625, 0.594, 0.0000, 0.0000
0.01148, 0.625, 0.594, 0.0000, 0.0000
0.01180, 0.625, 0.594, 0.0000, 0.0000
0.01212, 0.625, 0.607, 0.0000, 0.0000
0.01257, 0.625, 0.607, 0.0000, 0.0000
0.01290, 0.625, 0.607, 0.0000, 0.0000
0.01321, 0.625, 0.607, 0.0000, 0.0000
0.01354, 0.625, 0.607, 0.0000, 0.0000
0.01385, 0.625, 0.607, 0.0000, 0.0000
0.01418, 0.625, 0.616, 0.0000, 0.0000
0.01455, 0.625, 0.616, 0.0000, 0.0000
0.01486, 0.625, 0.616, 0.0000, 0.0000
0.01516, 0.625, 0.616, 0.0000, 0.0000
0.01547, 0.625, 0.616, 0.0000, 0.0000
0.01578, 0.625, 0.616, 0.0000, 0.0000
0.01609, 0.625, 0.620, 0.0000, 0.0000
0.01658, 0.625, 0.620, 0.0000, 0.0000
0.01689, 0.625, 0.620, 0.0000, 0.0000
0.01720, 0.625, 0.620, 0.0000, 0.0000
0.01751, 0.625, 0.620, 0.0000, 0.0000
0.01781, 0.625, 0.620, 0.0000, 0.0000
0.01812, 0.625, 0.622, 0.0000, 0.0000
0.01858, 0.625, 0.622, 0.0000, 0.0000
0.01889, 0.625, 0.622, 0.0000, 0.0000
0.01919, 0.625, 0.622, 0.0000, 0.0000
