time(s),reference current(A),current(A),rw angle(rad),pendulum angle(rad)
0.00000, 0.000, 0.000, 0.0000, -3.1416
0.00200, 0.031, 0.001, 0.0000, -3.1416
0.00400, 0.063, 0.001, 0.0000, -3.1416
0.00600, 0.094, 0.003, 0.0000, -3.1416
0.00800, 0.126, 0.036, 0.0000, -3.1416
0.01000, 0.158, 0.073, 0.0000, -3.1416
0.01200, 0.189, 0.094, 0.0000, -3.1416
0.01400, 0.221, 0.107, 0.0000, -3.1416
0.01600, 0.252, 0.131, 0.0000, -3.1416
0.01800, 0.284, 0.153, 0.0000, -3.1416
0.02000, 0.316, 0.213, 0.0000, -3.1416
0.02200, 0.348, 0.256, 0.0000, -3.1416
0.02400, 0.379, 0.280, 0.0000, -3.1416
0.02600, 0.411, 0.295, 0.0000, -3.1416
0.02800, 0.443, 0.319, 0.0000, -3.1416
0.03000, 0.475, 0.339, 0.0000, -3.1416
0.03200, 0.507, 0.404, 0.0000, -3.1416
0.03400, 0.538, 0.445, 0.0000, -3.1416
0.03600, 0.570, 0.459, 0.0000, -3.1416
0.03800, 0.602, 0.509, 0.0000, -3.1416
0.04000, 0.634, 0.535, 0.0000, -3.1416
0.04200, 0.666, 0.549, 0.0000, -3.1416
0.04400, 0.698, 0.573, 0.0000, -3.1416
0.04600, 0.730, 0.628, 0.0000, -3.1416
0.04800, 0.762, 0.655, 0.0000, -3.1416
0.05000, 0.794, 0.672, 0.0000, -3.1416
0.05200, 0.826, 0.702, 0.0000, -3.1416
0.05400, 0.858, 0.721, 0.0000, -3.1416
0.05600, 0.890, 0.785, 0.0000, -3.1416
0.05800, 0.922, 0.815, 0.0000, -3.1416
0.06000, 0.954, 0.846, 0.0000, -3.1416
0.06200, 0.986, 0.890, 0.0000, -3.1422
0.06400, 1.017, 0.904, 0.0000, -3.1422
0.06600, 1.049, 0.941, 0.0000, -3.1422
0.06800, 1.081, 0.973, 0.0000, -3.1422
0.07000, 1.113, 1.004, 0.0000, -3.1422
0.07200, 1.145, 1.036, 0.0000, -3.1422
0.07400, 1.177, 1.070, 0.0000, -3.1422
0.07600, 1.209, 1.100, 0.0000, -3.1422
0.07800, 1.241, 1.134, 0.0000, -3.1428
0.08000, 1.273, 1.151, 0.0000, -3.1428
0.08200, 1.305, 1.178, 0.0000, -3.1428
0.08400, 1.336, 1.232, 0.0000, -3.1428
0.08600, 1.368, 1.260, 0.0000, -3.1428
0.08800, 1.400, 1.292, 0.0000, -3.1435
0.09000, 1.432, 1.311, 0.0000, -3.1435
0.09200, 1.463, 1.365, 0.0000, -3.1435
0.09400, 1.495, 1.391, 0.0000, -3.1435
0.09600, 1.527, 1.407, 0.0000, -3.1441
0.09800, 1.558, 1.434, 0.0000, -3.1441
0.10000, 1.590, 1.469, 0.0000, -3.1441
0.10200, 1.621, 1.508, 0.0000, -3.1441
0.10400, 1.653, 1.539, 0.0000, -3.1447
0.10600, 1.684, 1.574, 0.0000, -3.1447
0.10800, 1.716, 1.621, 0.0000, -3.1447
0.11000, 1.747, 1.646, 0.0000, -3.1454
0.11200, 1.779, 1.674, 0.0000, -3.1454
0.11400, 1.810, 1.705, 0.0000, -3.1460
0.11600, 1.841, 1.734, 0.0000, -3.1460
0.11800, 1.872, 1.752, 0.0000, -3.1460
0.12000, 1.904, 1.806, 0.0000, -3.1466
0.12200, 1.935, 1.835, 0.0000, -3.1466
0.12400, 1.966, 1.862, 0.0000, -3.1472
0.12600, 1.997, 1.891, 0.0000, -3.1472
0.12800, 2.028, 1.863, 0.1309, -3.1479
0.13000, 2.059, 1.947, 0.1309, -3.1479
0.13200, 2.089, 1.993, 0.1309, -3.1485
0.13400, 2.120, 2.020, 0.1309, -3.1485
0.13600, 2.151, 2.034, 0.1309, -3.1491
0.13800, 2.182, 2.062, 0.1309, -3.1491
0.14000, 2.212, 2.095, 0.1309, -3.1498
0.14200, 2.243, 2.132, 0.1309, -3.1498
0.14400, 2.273, 2.179, 0.1309, -3.1504
0.14600, 2.303, 2.203, 0.1309, -3.1510
0.14800, 2.334, 2.212, 0.1309, -3.1510
0.15000, 2.364, 2.263, 0.1309, -3.1516
0.15200, 2.394, 2.304, 0.1309, -3.1523
0.15400, 2.424, 2.317, 0.1309, -3.1523
0.15600, 2.454, 2.363, 0.1309, -3.1529
0.15800, 2.484, 2.392, 0.2618, -3.1535
0.16000, 2.514, 2.423, 0.2618, -3.1535
0.16200, 2.544, 2.448, 0.2618, -3.1542
0.16400, 2.573, 2.473, 0.2618, -3.1548
0.16600, 2.603, 2.490, 0.2618, -3.1554
0.16800, 2.632, 2.537, 0.2618, -3.1560
0.17000, 2.662, 2.564, 0.2618, -3.1567
0.17200, 2.691, 2.594, 0.2618, -3.1567
0.17400, 2.720, 2.620, 0.2618, -3.1573
0.17600, 2.749, 2.651, 0.2618, -3.1586
0.17800, 2.778, 2.628, 0.3927, -3.1592
0.18000, 2.807, 2.700, 0.3927, -3.1592
0.18200, 2.836, 2.758, 0.3927, -3.1604
0.18400, 2.864, 2.765, 0.3927, -3.1604
0.18600, 2.893, 2.803, 0.3927, -3.1611
0.18800, 2.921, 2.817, 0.3927, -3.1617
0.19000, 2.949, 2.836, 0.3927, -3.1623
0.19200, 2.978, 2.874, 0.3927, -3.1636
0.19400, 3.006, 2.908, 0.3927, -3.1642
0.19600, 3.034, 2.941, 0.5236, -3.1648
0.19800, 3.062, 2.977, 0.5236, -3.1655
0.20000, 3.089, 2.989, 0.5236, -3.1661
0.20200, 3.117, 3.033, 0.5236, -3.1667
0.20400, 3.144, 3.052, 0.5236, -3.1680
0.20600, 3.172, 3.082, 0.5236, -3.1686
0.20800, 3.199, 3.109, 0.5236, -3.1692
0.21000, 3.226, 3.048, 0.6545, -3.1699
0.21200, 3.253, 3.166, 0.6545, -3.1711
0.21400, 3.280, 3.193, 0.6545, -3.1718
0.21600, 3.307, 3.227, 0.6545, -3.1724
0.21800, 3.333, 3.246, 0.6545, -3.1730
0.22000, 3.360, 3.262, 0.6545, -3.1743
0.22200, 3.386, 3.283, 0.6545, -3.1755
0.22400, 3.412, 3.327, 0.7854, -3.1762
0.22600, 3.438, 3.356, 0.7854, -3.1768
0.22800, 3.464, 3.363, 0.7854, -3.1780
0.23000, 3.489, 3.388, 0.7854, -3.1787
0.23200, 3.515, 3.418, 0.7854, -3.1799
0.23400, 3.540, 3.394, 0.9163, -3.1805
0.23600, 3.566, 3.492, 0.9163, -3.1818
0.23800, 3.591, 3.510, 0.9163, -3.1824
0.24000, 3.615, 3.547, 0.9163, -3.1837
0.24200, 3.640, 3.553, 0.9163, -3.1843
0.24400, 3.665, 3.546, 1.0472, -3.1856
0.24600, 3.689, 3.603, 1.0472, -3.1862
0.24800, 3.713, 3.643, 1.0472, -3.1875
0.25000, 3.738, 3.663, 1.0472, -3.1887
0.25200, 3.761, 3.681, 1.0472, -3.1900
0.25400, 3.785, 3.695, 1.1781, -3.1912
0.25600, 3.809, 3.729, 1.1781, -3.1912
0.25800, 3.832, 3.761, 1.1781, -3.1931
0.26000, 3.855, 3.765, 1.1781, -3.1937
0.26200, 3.878, 3.754, 1.3090, -3.1950
0.26400, 3.901, 3.852, 1.3090, -3.1963
0.26600, 3.924, 3.854, 1.3090, -3.1975
0.26800, 3.946, 3.882, 1.3090, -3.1988
0.27000, 3.969, 3.892, 1.3090, -3.1994
0.27200, 3.991, 3.920, 1.4399, -3.2007
0.27400, 4.013, 3.956, 1.4399, -3.2019
0.27600, 4.034, 3.961, 1.4399, -3.2032
0.27800, 4.056, 3.993, 1.4399, -3.2044
0.28000, 4.077, 3.997, 1.5708, -3.2051
0.28200, 4.098, 4.034, 1.5708, -3.2069
0.28400, 4.119, 4.053, 1.5708, -3.2076
0.28600, 4.140, 4.074, 1.5708, -3.2095
0.28800, 4.161, 4.111, 1.7017, -3.2107
0.29000, 4.181, 4.130, 1.7017, -3.2120
0.29200, 4.201, 4.137, 1.7017, -3.2126
0.29400, 4.221, 4.168, 1.8326, -3.2145
0.29600, 4.241, 4.181, 1.8326, -3.2157
0.29800, 4.260, 4.177, 1.8326, -3.2170
0.30000, 4.280, 4.087, 1.9635, -3.2182
0.30200, 4.299, 4.240, 1.9635, -3.2201
0.30400, 4.317, 4.258, 1.9635, -3.2208
0.30600, 4.336, 4.229, 2.0944, -3.2226
0.30800, 4.354, 4.280, 2.0944, -3.2239
0.31000, 4.373, 4.336, 2.0944, -3.2252
0.31200, 4.391, 4.279, 2.2253, -3.2270
0.31400, 4.408, 4.315, 2.2253, -3.2277
0.31600, 4.426, 4.377, 2.2253, -3.2289
0.31800, 4.443, 4.389, 2.2253, -3.2302
0.32000, 4.460, 4.381, 2.3562, -3.2321
0.32200, 4.477, 4.424, 2.3562, -3.2333
0.32400, 4.494, 4.449, 2.3562, -3.2346
0.32600, 4.510, 4.473, 2.4871, -3.2365
0.32800, 4.526, 4.493, 2.4871, -3.2377
0.33000, 4.542, 4.352, 2.6180, -3.2390
0.33200, 4.557, 4.516, 2.6180, -3.2402
0.33400, 4.573, 4.526, 2.6180, -3.2415
0.33600, 4.588, 4.454, 2.7489, -3.2434
0.33800, 4.603, 4.559, 2.7489, -3.2446
0.34000, 4.617, 4.587, 2.7489, -3.2465
0.34200, 4.632, 4.584, 2.8798, -3.2478
0.34400, 4.646, 4.619, 2.8798, -3.2490
0.34600, 4.660, 4.496, 3.0107, -3.2509
0.34800, 4.674, 4.640, 3.0107, -3.2522
0.35000, 4.687, 4.663, 3.0107, -3.2541
0.35200, 4.700, 4.625, 3.1416, -3.2553
0.35400, 4.713, 4.677, 3.1416, -3.2566
0.35600, 4.725, 4.569, 3.2725, -3.2585
