time(s),reference current(A),current(A),rw angle(rad),pendulum angle(rad)
0.00000, 0.000, 0.001, 0.0000, -3.1416
0.00200, 0.031, 0.000, 0.0000, -3.1416
0.00400, 0.063, 0.001, 0.0000, -3.1416
0.00600, 0.094, 0.003, 0.0000, -3.1416
0.00800, 0.126, 0.025, 0.0000, -3.1416
0.01000, 0.158, 0.056, 0.0000, -3.1416
0.01200, 0.189, 0.083, 0.0000, -3.1416
0.01400, 0.221, 0.116, 0.0000, -3.1416
0.01600, 0.252, 0.159, 0.0000, -3.1416
0.01800, 0.284, 0.173, 0.0000, -3.1416
0.02000, 0.316, 0.223, 0.0000, -3.1416
0.02200, 0.348, 0.236, 0.0000, -3.1416
0.02400, 0.379, 0.284, 0.0000, -3.1416
0.02600, 0.411, 0.310, 0.0000, -3.1416
0.02800, 0.443, 0.338, 0.0000, -3.1416
0.03000, 0.475, 0.356, 0.0000, -3.1416
0.03200, 0.507, 0.408, 0.0000, -3.1416
0.03400, 0.538, 0.448, 0.0000, -3.1416
0.03600, 0.570, 0.460, 0.0000, -3.1416
0.03800, 0.602, 0.496, 0.0000, -3.1416
0.04000, 0.634, 0.528, 0.0000, -3.1416
0.04200, 0.666, 0.572, 0.0000, -3.1416
0.04400, 0.698, 0.597, 0.0000, -3.1416
0.04600, 0.730, 0.605, 0.0000, -3.1416
0.04800, 0.762, 0.655, 0.0000, -3.1416
0.05000, 0.794, 0.665, 0.0000, -3.1416
0.05200, 0.826, 0.720, 0.0000, -3.1416
0.05400, 0.858, 0.749, 0.0000, -3.1422
0.05600, 0.890, 0.781, 0.0000, -3.1422
0.05800, 0.922, 0.824, 0.0000, -3.1422
0.06000, 0.954, 0.851, 0.0000, -3.1422
0.06200, 0.986, 0.882, 0.0000, -3.1422
0.06400, 1.017, 0.910, 0.0000, -3.1422
0.06600, 1.049, 0.920, 0.0000, -3.1422
0.06800, 1.081, 0.972, 0.0000, -3.1422
0.07000, 1.113, 0.982, 0.0000, -3.1422
0.07200, 1.145, 1.036, 0.0000, -3.1422
0.07400, 1.177, 1.046, 0.0000, -3.1428
0.07600, 1.209, 1.103, 0.0000, -3.1428
